Movie Number,Movie Title,Movie Url,Date,Length,Genre,IMDb Rating,Filtered Genre,year,Int Length
7901,Stander,http://www.imdb.com/title/tt0326208/,10 October 2003,1h 51min,"['Action', 'Biography', 'Crime']",7.2,Documentary/Biography,2003.0,111
7911,The Last Time I Committed Suicide,http://www.imdb.com/title/tt0119502/,20 June 1997,1h 32min,"['Biography', 'Drama']",5.8,Documentary/Biography,1997.0,92
7915,Swimming Upstream,http://www.imdb.com/title/tt0326664/,27 February 2003,1h 54min,"['Biography', 'Drama', 'Sport']",7.2,Documentary/Biography,2003.0,114
7916,Baadasssss!,http://www.imdb.com/title/tt0367790/,17 March 2005,1h 49min,"['Biography', 'Drama']",7.4,Documentary/Biography,2005.0,109
7934,Ed Gein,http://www.imdb.com/title/tt0230169/,20 July 2001,1h 29min,"['Biography', 'Crime', 'Drama']",5.6,Documentary/Biography,2001.0,89
7964,Gonzo: The Life and Work of Dr. Hunter S. Thompson,http://www.imdb.com/title/tt0479468/,18 July 2008,2h,"['Documentary', 'Biography', 'Music']",7.7,Documentary/Biography,2008.0,120
7968,Jason Becker: Not Dead Yet,http://www.imdb.com/title/tt2120779/,16 November 2012,1h 27min,"['Documentary', 'Biography', 'Music']",8.1,Documentary/Biography,2012.0,87
7971,Marwencol,http://www.imdb.com/title/tt1391092/,8 October 2010,1h 23min,"['Documentary', 'Biography', 'Fantasy']",7.6,Documentary/Biography,2010.0,83
7989,The Arbor,http://www.imdb.com/title/tt1623008/,25 April 2010,1h 34min,"['Documentary', 'Biography', 'Drama']",7.2,Documentary/Biography,2010.0,94
8004,Dance with a Stranger,http://www.imdb.com/title/tt0088987/,9 August 1985,1h 36min,"['Biography', 'Crime', 'Drama']",6.8,Documentary/Biography,1985.0,96
8013,Thirty Two Short Films About Glenn Gould,http://www.imdb.com/title/tt0108328/,26 November 1993,1h 38min,"['Biography', 'Drama', 'Music']",7.5,Documentary/Biography,1993.0,98
8028,Be Here to Love Me: A Film About Townes Van Zandt,http://www.imdb.com/title/tt0423853/,22 December 2005,1h 39min,"['Documentary', 'Biography', 'Music']",7.9,Documentary/Biography,2005.0,99
8029,OmnibusEpisode: Syd Barrett: Crazy Diamond,http://www.imdb.com/title/tt0200358/,13 October 1967,,"['Documentary', 'Biography', 'Music']",8.1,Documentary/Biography,1967.0,0
8044,Scorsese on Scorsese,http://www.imdb.com/title/tt0440780/,14 December 2004,1h 26min,"['Documentary', 'Biography']",8.0,Documentary/Biography,2004.0,86
8063,Rock n Roll Nerd,http://www.imdb.com/title/tt1297297/,27 July 2008,1h 29min,"['Documentary', 'Biography', 'Comedy']",7.9,Documentary/Biography,2008.0,89
8067,"Thelonious Monk: Straight, No Chaser",http://www.imdb.com/title/tt0098465/,31 October 1990,1h 30min,"['Documentary', 'Biography', 'Music']",7.7,Documentary/Biography,1990.0,90
8072,Still Bill,http://www.imdb.com/title/tt1333117/,27 January 2010,1h 18min,"['Documentary', 'Biography', 'Music']",7.8,Documentary/Biography,2010.0,78
8076,General Idi Amin Dada,http://www.imdb.com/title/tt0071544/,30 August 1976,1h 30min,"['Documentary', 'Biography', 'War']",7.6,Documentary/Biography,1976.0,90
